brand,logo_url,brand_id,category
CHANEL,"https://cdn-img.thepoizon.ru/node-common/JUU5JUE2JTk5JUU1JUE1JTg4JUU1JTg0JUJGMTYzNTk5ODE3ODQwMQ==.png?x-oss-process=image/format,webp/resize,w_63,h_63",JUU5JUE2JTk5JUU1JUE1JTg4JUU1JTg0JUJGMTYzNTk5ODE3ODQwMQ==,clothes
COACH,"https://cdn-img.thepoizon.ru/source-img/brand-img//1cb56cae74fd4a32bfed7fc8a3721ae7-10229.png?x-oss-process=image/format,webp/resize,w_63,h_63",1cb56cae74fd4a32bfed7fc8a3721ae7-10229,clothes
Columbia,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/4c62401943bb40cbb282e20b7ca97b06.png?x-oss-process=image/format,webp/resize,w_63,h_63",4c62401943bb40cbb282e20b7ca97b06,clothes
Converse,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte8272byte_078b04a261c1bb1c868f1522c7ddcefc_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte8272byte_078b04a261c1bb1c868f1522c7ddcefc,clothes
DESCENTE,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/59324d9ee8a24a7d93d2abf02aa1990e.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",59324d9ee8a24a7d93d2abf02aa1990e,clothes
Dickies,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte33841byte_3a70a29d26bb00d2b829043019d7a275_w466h466.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte33841byte_3a70a29d26bb00d2b829043019d7a275,clothes
DIESEL,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230210/bf747ab76c0643358b7fdfd4c4ba1653.png?x-oss-process=image/format,webp/resize,w_63,h_63",bf747ab76c0643358b7fdfd4c4ba1653,clothes
DIOR,"https://cdn-img.thepoizon.ru/node-common/c05749cb-be77-cfa1-d997-1cc1f85153ac-174-174.png?x-oss-process=image/format,webp/resize,w_63,h_63",c05749cb-be77-cfa1-d997-1cc1f85153ac-174-174,clothes
Drew House,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230104/74cbd1fca4ae42208806e18b81f56753.png?x-oss-process=image/format,webp/resize,w_63,h_63",74cbd1fca4ae42208806e18b81f56753,clothes
EMPORIO ARMANI,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte22342byte_7060a8a9b7c6b335143673f5417a1944_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte22342byte_7060a8a9b7c6b335143673f5417a1944,clothes
EVISU,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte8745byte_0ba5f52e059d3e91803a05843c2b22e2_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte8745byte_0ba5f52e059d3e91803a05843c2b22e2,clothes
Fear of God,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230104/d03806e6c3d54147829f1fe696346912.png?x-oss-process=image/format,webp/resize,w_63,h_63",d03806e6c3d54147829f1fe696346912,clothes
Fear Of God Essentials,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte23329byte_3e247b5d598f7da36a1af24d08cb9ad8_w350h350.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte23329byte_3e247b5d598f7da36a1af24d08cb9ad8,clothes
FENDI,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte3735byte_363b11ad1f4b34f6b165818fe14ded88_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte3735byte_363b11ad1f4b34f6b165818fe14ded88,clothes
FILA,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte24479byte_79cb074cf3d73a420d75a435aee91fe2_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte24479byte_79cb074cf3d73a420d75a435aee91fe2,clothes
