brand,logo_url,brand_id,category
SMFK,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/94cac89509fe4209a6997999f4504ea9.jpeg?x-oss-process=image/format,webp/resize,w_63,h_63",94cac89509fe4209a6997999f4504ea9,bags
Smileyworld,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230612/ba9ffc1fbdcd48629efcdce99e100dde.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",ba9ffc1fbdcd48629efcdce99e100dde,bags
Snow Peak,"https://cdn-img.thepoizon.ru/node-common/JUU0JUI4JThCJUU4JUJEJUJEMTYyODU2NTg2Nzg1Mg==.png?x-oss-process=image/format,webp/resize,w_63,h_63",JUU0JUI4JThCJUU4JUJEJUJEMTYyODU2NTg2Nzg1Mg==,bags
Songmont,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/1db0a98f403e4e72a89af7ad2c7f29ae.png?x-oss-process=image/format,webp/resize,w_63,h_63",1db0a98f403e4e72a89af7ad2c7f29ae,bags
SPRAYGROUND,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230707/09bf2eeb59ff426e9f1baf86b1ad87a3.jpg?x-oss-process=image/format,webp/resize,w_63,h_63",09bf2eeb59ff426e9f1baf86b1ad87a3,bags
STONE ISLAND,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230215/3ea32306b96b4762b38f7896623ebc6d.png?x-oss-process=image/format,webp/resize,w_63,h_63",3ea32306b96b4762b38f7896623ebc6d,bags
Stussy,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte30589byte_c37b4863d6248dd92a588696c9e1dfe5_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte30589byte_c37b4863d6248dd92a588696c9e1dfe5,bags
Supreme,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte6426byte_c7ab640bf99963bfc2aff21ca4ff8322_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte6426byte_c7ab640bf99963bfc2aff21ca4ff8322,bags
SWISS MILITARY,"https://cdn-img.thepoizon.ru/pro-img/cut-img/20230406/d40b2050622c40ddb683bf3173dd1987.png?x-oss-process=image/format,webp/resize,w_63,h_63",d40b2050622c40ddb683bf3173dd1987,bags
Tagi,"https://cdn-img.thepoizon.ru/e2997b201efb4e69ab26076f600aa168.webp?x-oss-process=image/format,webp/resize,w_63,h_63",e2997b201efb4e69ab26076f600aa168,bags
TEAM WANG,"https://cdn-img.thepoizon.ru/node-common/f4d2d3d4-acab-d575-6a20-02188215743e-800-800.png?x-oss-process=image/format,webp/resize,w_63,h_63",f4d2d3d4-acab-d575-6a20-02188215743e-800-800,bags
THE NORTH FACE,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte31268byte_e05935a55a37e7901640f7d09548499d_w151h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte31268byte_e05935a55a37e7901640f7d09548499d,bags
THE NORTH FACE PURPLE LABEL,"https://cdn-identify-operate.thepoizon.ru/du_app/2019/image/news_byte22025byte_ce1dc9be1690240e01f1365eedac1362_w150h150.png?x-oss-process=image/format,webp/resize,w_63,h_63",news_byte22025byte_ce1dc9be1690240e01f1365eedac1362,bags
